Date,AAPL,AMZN,TSLA,KO,^GSPC
2021-01-04 00:00:00-05:00,,,,,
2021-01-05 00:00:00-05:00,0.012288075929923536,0.009954646073317086,0.007290726849837448,-0.011054121952530416,0.00705763138336124
2021-01-06 00:00:00-05:00,-0.034241207071826985,-0.02521177683421083,0.02799476644243626,-0.03232996069315419,0.005693603382475487
2021-01-07 00:00:00-05:00,0.03355363973631054,0.007548565530855811,0.0764484686901481,-0.011146604637934043,0.0147382601077517
2021-01-08 00:00:00-05:00,0.008594499646243925,0.006474509430722364,0.07548123816080565,0.02217041458014446,0.005476837393516121
2021-01-11 00:00:00-05:00,-0.023523284341822936,-0.021754382256951033,-0.08144231364811638,-0.01737807641212763,-0.006576327616620858
2021-01-12 00:00:00-05:00,-0.0013965473524928385,0.002123540741920671,0.04607500335507542,-0.0017945644535717342,0.0004157020305690651
2021-01-13 00:00:00-05:00,0.016096593576651053,0.014335165650269488,0.005833900551637683,0.000997178976915869,0.0022730563867252584
2021-01-14 00:00:00-05:00,-0.015242929677478756,-0.012209782116707757,-0.011074621019439235,-0.018714477442005162,-0.00376051306874281
2021-01-15 00:00:00-05:00,-0.013825739727500341,-0.007452299659631123,-0.022548164384925684,-0.010824200479849555,-0.0072160007982784435
2021-01-19 00:00:00-05:00,0.005412586269558872,0.005304424924283957,0.022015499815695172,-0.003909109482068018,0.008103457635762368
2021-01-20 00:00:00-05:00,0.03232774625398083,0.04468698106534852,0.006961708841249248,0.003498347765271248,0.013839417376511065
2021-01-21 00:00:00-05:00,0.03600237765869796,0.013274918628908061,-0.006440854103183291,0.005531228450001979,0.00031667316131311907
2021-01-22 00:00:00-05:00,0.01594578255339041,-0.004473303364495251,0.0019507385857471249,-0.009441858968463723,-0.0030151526629378367
2021-01-25 00:00:00-05:00,0.02730789912496867,0.0005374909810065276,0.03955508620073278,0.005962841553254883,0.003609317513017629
2021-01-26 00:00:00-05:00,0.0016776074664903717,0.009706872588035154,0.002596544878530338,0.010400864036058444,-0.0014899431611539171
2021-01-27 00:00:00-05:00,-0.007713302848986636,-0.028528919404601893,-0.021669174678462078,-0.015539133834372887,-0.026013315126100167
2021-01-28 00:00:00-05:00,-0.0356120422864139,0.0015579052061100995,-0.033811459334112115,0.012694761809884714,0.009713298778759594
2021-01-29 00:00:00-05:00,-0.03813842456291372,-0.00975205157164627,-0.051455133708131484,-0.020555692996659936,-0.019500377654791734
2021-02-01 00:00:00-05:00,0.016384907475345933,0.04174627405005449,0.05668432585298433,0.0068301542963138395,0.015924300234678057
2021-02-02 00:00:00-05:00,0.006316679841329886,0.011043015400718836,0.03851924269165963,0.009852114919370436,0.013802528814311543
2021-02-03 00:00:00-05:00,-0.007808650919649551,-0.020163489626646047,-0.020956118951171554,-0.0038881349748418614,0.0010082606153449802
2021-02-04 00:00:00-05:00,0.02543160411649481,0.005560357666634097,-0.005514295631595445,0.004908898765403347,0.010794847643921912
2021-02-05 00:00:00-05:00,-0.003102848359393562,0.006329342562379381,0.0026318832156615457,0.012974110353209056,0.0038899196077633036
2021-02-08 00:00:00-05:00,0.0010963630659004409,-0.00875196775883591,0.013044842106936905,0.005423201639765285,0.007372107476289358
2021-02-09 00:00:00-05:00,-0.006595594790443471,-0.005413479034809043,-0.01630045514251055,-0.0044166166757828584,-0.001114145421722057
2021-02-10 00:00:00-05:00,-0.004568718735319166,-0.005588994815407311,-0.05398211054651636,-0.0020141841622534074,-0.00034524452239104164
2021-02-11 00:00:00-05:00,-0.0019220768759833362,-0.007467083315264134,0.00846287842304605,0.01401423497976495,0.001661074814588659
2021-02-12 00:00:00-05:00,0.0017742320814777557,0.004764600739062708,0.005479859012750943,0.007723697288825271,0.0046999709261612566
2021-02-16 00:00:00-05:00,-0.016234933032640342,-0.0026761970923745437,-0.024685864957399772,-0.00832016879133457,-0.0005694345154143576
2021-02-17 00:00:00-05:00,-0.017801471648197342,0.012068471325383356,0.002420934399334662,-0.0027889296772269923,-0.0003204533489178374
2021-02-18 00:00:00-05:00,-0.008673926158659917,0.005903355134449839,-0.013585558248810692,0.012685905430694255,-0.004425614227242747
2021-02-19 00:00:00-05:00,0.0012326200092793727,-0.023816428691007197,-0.007751801260508451,-0.013085032779874606,-0.0018566190956654793
2021-02-22 00:00:00-05:00,-0.030252020100848043,-0.021510306346618435,-0.08937612559287711,0.010323860164710208,-0.007762892893710571
2021-02-23 00:00:00-05:00,-0.001111710097479346,0.004316729031036637,-0.022161184525391953,-0.001779309606206425,0.0012555296115266401
2021-02-24 00:00:00-05:00,-0.004060346899574796,-0.0110073276407876,0.05995434797561927,0.003358236590568442,0.011287667670986323
2021-02-25 00:00:00-05:00,-0.035401961727308695,-0.03293690001850802,-0.08402401628243972,-0.010706138287634559,-0.024783394424172656
2021-02-26 00:00:00-05:00,0.002229065568060129,0.011632467716053085,-0.009898985904473356,-0.023801029506762106,-0.004761532293798609
2021-03-01 00:00:00-05:00,0.052451345234517,0.017057488725899184,0.061615106636751626,0.018404753934725626,0.023512173225693545
2021-03-02 00:00:00-05:00,-0.021115090233709388,-0.01654030181848487,-0.04554943930628852,0.00400008859928791,-0.008113678739508856
2021-03-03 00:00:00-05:00,-0.02476051121958278,-0.02935847824991189,-0.04963546753524195,-0.002398081250102546,-0.013152335894801581
2021-03-04 00:00:00-05:00,-0.015938226089362573,-0.009170074897274283,-0.04984401019282281,-0.0008006400756777055,-0.013508038064390604
2021-03-05 00:00:00-05:00,0.010681069210243699,0.007658083796421522,-0.038532236280416576,0.016877232013918775,0.019308356338710198
